;rider;PCS;Team;Age;Nationality;Team PCS;flat1-4;flat5-8;flat9-12;hills(flat)1-4;hills(flat)5-8;hills(flat)9-12;hills(uphill)1-4;hills(uphill)5-8;hills(uphill)9-12;mountains(flat)1-4;mountains(flat)5-8;mountains(flat)9-12;mountains(uphill)1-4;mountains(uphill)5-8;mountains(uphill)9-12;gc1-4;gc5-8;gc9-12;wielerpoule
0;rider/carlos-sastre;706;Cervelo Test Team;34;Spain;4358;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;1.0;1.0;1.0;0.0;0.0;12.0
1;rider/inigo-cuesta;107;Cervelo Test Team;40;Spain;4358;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
2;rider/jose-angel-gomez-marchante;249;Cervelo Test Team;29;Spain;4358;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;5.0
3;rider/volodymyr-gustov;68;Cervelo Test Team;32;Ukraine;4358;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;rider/heinrich-haussler;1210;Cervelo Test Team;25;Australia;4358;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;20.0
5;rider/thor-hushovd;1474;Cervelo Test Team;31;Norway;4358;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;94.0
6;rider/andreas-klier;250;Cervelo Test Team;33;Germany;4358;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
7;rider/brett-lancaster;140;Cervelo Test Team;30;Australia;4358;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;5.0
8;rider/hayden-roulston;154;Cervelo Test Team;28;New Zealand;4358;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;10.0
9;rider/cadel-evans;1824;Silence - Lotto;32;Australia;3682;1.0;0.0;2.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;3.0;0.0;4.0;1.0;0.0;22.0
10;rider/mickael-delage;218;Silence - Lotto;24;France;3682;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
