;rider;PCS;Team;Age;Nationality;Team PCS;flat1-4;flat5-8;flat9-12;hills(flat)1-4;hills(flat)5-8;hills(flat)9-12;hills(uphill)1-4;hills(uphill)5-8;hills(uphill)9-12;mountains(flat)1-4;mountains(flat)5-8;mountains(flat)9-12;mountains(uphill)1-4;mountains(uphill)5-8;mountains(uphill)9-12;gc1-4;gc5-8;gc9-12;wielerpoule
0;rider/christopher-froome;2415;Sky Procycling;28;Great Britain;7129;3.0;2.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;0.0;5.0;0.0;0.0;113.0
1;rider/edvald-boasson-hagen;879;Sky Procycling;26;Norway;7129;4.0;2.0;0.0;4.0;2.0;1.0;2.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;41.0
2;rider/peter-kennaugh;88;Sky Procycling;24;Great Britain;7129;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
3;rider/vasil-kiryienka;326;Sky Procycling;32;Belarus;7129;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;10.0
4;rider/david-lopez;496;Sky Procycling;32;Spain;7129;1.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;0.0;0.0;10.0
5;rider/richie-porte;1509;Sky Procycling;28;Australia;7129;1.0;3.0;0.0;2.0;0.0;0.0;1.0;2.0;0.0;1.0;1.0;0.0;4.0;0.0;1.0;4.0;1.0;0.0;46.0
6;rider/kanstantsin-siutsou;335;Sky Procycling;31;Belarus;7129;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;10.0
7;rider/ian-stannard;377;Sky Procycling;26;Great Britain;7129;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;10.0
8;rider/geraint-thomas;704;Sky Procycling;27;Great Britain;7129;1.0;2.0;1.0;3.0;0.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;10.0
9;rider/peter-sagan;2802;Cannondale Pro Cycling Team;23;Slovakia;3897;6.0;3.0;2.0;18.0;2.0;0.0;2.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;101.0
10;rider/maciej-bodnar;107;Cannondale Pro Cycling Team;28;Poland;3897;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11;rider/alessandro-de-marchi;202;Cannondale Pro Cycling Team;27;Italy;3897;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;5.0
12;rider/edward-king;20;Cannondale Pro Cycling Team;30;United States;3897;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;rider/kristijan-koren;115;Cannondale Pro Cycling Team;27;Slovenia;3897;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14;rider/alan-marangoni;96;Cannondale Pro Cycling Team;29;Italy;3897;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;rider/moreno-moser;362;Cannondale Pro Cycling Team;23;Italy;3897;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;10.0
16;rider/fabio-sabatini;113;Cannondale Pro Cycling Team;28;Italy;3897;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17;rider/brian-vandborg;80;Cannondale Pro Cycling Team;32;Denmark;3897;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18;rider/jurgen-van-den-broeck;312;Lotto Belisol Team;30;Belgium;3284;0.0;0.0;2.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;2.0;1.0;1.0;1.0;2.0;1.0;2.0;1.0;7.0
19;rider/lars-ytting-bak;234;Lotto Belisol Team;33;Denmark;3284;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;14.0
20;rider/bart-de-clercq;222;Lotto Belisol Team;27;Belgium;3284;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;2.0;0.0;1.0;1.0;16.0
21;rider/andre-greipel;1516;Lotto Belisol Team;31;Germany;3284;7.0;2.0;2.0;8.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;55.0
22;rider/adam-hansen;230;Lotto Belisol Team;32;Australia;3284;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;7.0
