;rider;PCS;Team;Age;Nationality;Team PCS;flat1-4;flat5-8;flat9-12;hills(flat)1-4;hills(flat)5-8;hills(flat)9-12;hills(uphill)1-4;hills(uphill)5-8;hills(uphill)9-12;mountains(flat)1-4;mountains(flat)5-8;mountains(flat)9-12;mountains(uphill)1-4;mountains(uphill)5-8;mountains(uphill)9-12;gc1-4;gc5-8;gc9-12;wielerpoule
0;rider/geraint-thomas;863;Team INEOS;33;Great Britain;5612;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;75.0
1;rider/egan-bernal;1991;Team INEOS;22;Colombia;5612;1.0;2.0;2.0;0.0;2.0;3.0;0.0;0.0;1.0;4.0;1.0;1.0;5.0;1.0;1.0;4.0;0.0;0.0;78.0
2;rider/jonathan-castroviejo;162;Team INEOS;32;Spain;5612;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0
3;rider/michal-kwiatkowski;613;Team INEOS;29;Poland;5612;2.0;1.0;0.0;2.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;12.0
4;rider/gianni-moscon;384;Team INEOS;25;Italy;5612;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;12.0
5;rider/wout-poels;865;Team INEOS;32;Netherlands;5612;0.0;1.0;1.0;0.0;0.0;6.0;2.0;2.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;3.0;1.0;0.0;17.0
6;rider/luke-rowe;283;Team INEOS;29;Great Britain;5612;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0
7;rider/dylan-van-baarle;451;Team INEOS;27;Netherlands;5612;2.0;0.0;1.0;1.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;12.0
8;rider/peter-sagan;1614;BORA - hansgrohe;29;Slovakia;5227;1.0;4.0;0.0;9.0;4.0;2.0;2.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;92.0
9;rider/emanuel-buchmann;1333;BORA - hansgrohe;27;Germany;5227;0.0;0.0;1.0;1.0;2.0;0.0;2.0;1.0;1.0;0.0;2.0;3.0;3.0;1.0;0.0;3.0;1.0;1.0;42.0
10;rider/marcus-burghardt;99;BORA - hansgrohe;36;Germany;5227;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
11;rider/patrick-konrad;611;BORA - hansgrohe;28;Austria;5227;0.0;0.0;0.0;0.0;4.0;1.0;0.0;3.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;2.0;0.0;1.0;3.0
12;rider/gregor-muhlberger;267;BORA - hansgrohe;25;Austria;5227;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0
13;rider/daniel-oss;129;BORA - hansgrohe;32;Italy;5227;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
14;rider/lukas-postlberger;185;BORA - hansgrohe;27;Austria;5227;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0
15;rider/maximilian-schachmann;989;BORA - hansgrohe;25;Germany;5227;0.0;0.0;1.0;5.0;1.0;1.0;2.0;3.0;0.0;2.0;2.0;0.0;0.0;1.0;2.0;0.0;0.0;5.0;1.0
16;rider/julian-alaphilippe;2265;Deceuninck - Quick Step;27;France;7715;3.0;0.0;0.0;9.0;1.0;2.0;3.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;89.0
17;rider/kasper-asgreen;719;Deceuninck - Quick Step;24;Denmark;7715;2.0;2.0;0.0;3.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;27.0
18;rider/dries-devenyns;202;Deceuninck - Quick Step;36;Belgium;7715;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;10.0
19;rider/yves-lampaert;979;Deceuninck - Quick Step;28;Belgium;7715;7.0;3.0;0.0;3.0;8.0;1.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;10.0
20;rider/enric-mas;871;Deceuninck - Quick Step;24;Spain;7715;0.0;0.0;1.0;1.0;2.0;3.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;1.0;2.0;0.0;3.0;14.0
21;rider/michael-morkov;425;Deceuninck - Quick Step;34;Denmark;7715;3.0;2.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;10.0
22;rider/ariel-maximiliano-richeze;391;Deceuninck - Quick Step;36;Argentina;7715;3.0;1.0;0.0;0.0;3.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0
23;rider/elia-viviani;1863;Deceuninck - Quick Step;30;Italy;7715;6.0;2.0;1.0;12.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.0
24;rider/romain-bardet;824;AG2R La Mondiale;29;France;4118;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0;1.0;1.0;1.0;1.0;1.0;12.0
25;rider/mikael-cherel;88;AG2R La Mondiale;33;France;4118;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
