;rider;PCS;Team;Age;Nationality;Team PCS;flat1-4;flat5-8;flat9-12;hills(flat)1-4;hills(flat)5-8;hills(flat)9-12;hills(uphill)1-4;hills(uphill)5-8;hills(uphill)9-12;mountains(flat)1-4;mountains(flat)5-8;mountains(flat)9-12;mountains(uphill)1-4;mountains(uphill)5-8;mountains(uphill)9-12;gc1-4;gc5-8;gc9-12;wielerpoule
0;rider/christopher-froome;2318;Team Sky;31;Great Britain;6842;2.0;0.0;0.0;3.0;0.0;0.0;2.0;1.0;1.0;0.0;0.0;1.0;5.0;1.0;2.0;3.0;1.0;0.0;101.0
1;rider/sergio-luis-henao;893;Team Sky;29;Colombia;6842;0.0;0.0;0.0;1.0;1.0;1.0;3.0;2.0;1.0;0.0;0.0;0.0;2.0;1.0;0.0;2.0;1.0;1.0;1.0
2;rider/vasil-kiryienka;366;Team Sky;35;Belarus;6842;0.0;2.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;rider/mikel-landa;431;Team Sky;27;Spain;6842;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;2.0;0.0;0.0;1.0;0.0;3.0;1.0
4;rider/mikel-nieve;507;Team Sky;32;Spain;6842;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;2.0;0.0
5;rider/wout-poels;816;Team Sky;29;Netherlands;6842;0.0;1.0;0.0;3.0;0.0;1.0;4.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;10.0
6;rider/luke-rowe;290;Team Sky;26;Great Britain;6842;0.0;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;rider/ian-stannard;343;Team Sky;29;Great Britain;6842;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;rider/geraint-thomas;878;Team Sky;30;Great Britain;6842;1.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;2.0;1.0;2.0;0.0;0.0;12.0
9;rider/nairo-quintana;2074;Movistar Team;26;Colombia;7651;2.0;0.0;1.0;2.0;2.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;7.0;5.0;3.0;6.0;0.0;0.0;36.0
10;rider/alejandro-valverde;2173;Movistar Team;36;Spain;7651;1.0;0.0;1.0;5.0;4.0;2.0;2.0;4.0;1.0;2.0;3.0;1.0;4.0;4.0;1.0;3.0;0.0;1.0;43.0
11;rider/winner-anacona;185;Movistar Team;28;Colombia;7651;0.0;0.0;0.0;0.0;1.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;1.0;8.0
12;rider/imanol-erviti;261;Movistar Team;33;Spain;7651;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
