;rider;PCS;Team;Age;Nationality;Team PCS;flat1-4;flat5-8;flat9-12;hills(flat)1-4;hills(flat)5-8;hills(flat)9-12;hills(uphill)1-4;hills(uphill)5-8;hills(uphill)9-12;mountains(flat)1-4;mountains(flat)5-8;mountains(flat)9-12;mountains(uphill)1-4;mountains(uphill)5-8;mountains(uphill)9-12;gc1-4;gc5-8;gc9-12;wielerpoule
0;rider/christopher-froome;1394;Team Sky;33;Great Britain;7685;1.0;1.0;2.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;3.0;1.0;3.0;2.0;1.0;2.0;0.0;1.0;73.0
1;rider/egan-bernal;1121;Team Sky;21;Colombia;7685;0.0;0.0;0.0;1.0;2.0;2.0;0.0;1.0;1.0;1.0;3.0;1.0;6.0;1.0;0.0;3.0;1.0;0.0;20.0
2;rider/jonathan-castroviejo;443;Team Sky;31;Spain;7685;6.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;12.0
3;rider/michal-kwiatkowski;1467;Team Sky;28;Poland;7685;5.0;2.0;1.0;2.0;2.0;2.0;4.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;3.0;0.0;0.0;21.0
4;rider/gianni-moscon;937;Team Sky;24;Italy;7685;2.0;1.0;0.0;3.0;2.0;1.0;1.0;2.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;1.0;0.0;1.0;12.0
5;rider/wout-poels;560;Team Sky;31;Netherlands;7685;1.0;1.0;0.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0;2.0;2.0;0.0;2.0;0.0;1.0;12.0
6;rider/luke-rowe;105;Team Sky;28;Great Britain;7685;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0
7;rider/geraint-thomas;1658;Team Sky;32;Great Britain;7685;3.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;4.0;1.0;0.0;3.0;0.0;0.0;112.0
8;rider/rigoberto-uran;976;Team EF Education First-Drapac p/b Cannondale;31;Colombia;2845;0.0;0.0;1.0;1.0;4.0;0.0;2.0;3.0;1.0;0.0;2.0;1.0;3.0;4.0;1.0;2.0;2.0;1.0;7.0
9;rider/simon-clarke;235;Team EF Education First-Drapac p/b Cannondale;32;Australia;2845;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;2.0;0.0;1.0;0.0;7.0
10;rider/lawson-craddock;145;Team EF Education First-Drapac p/b Cannondale;26;United States;2845;1.0;1.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;7.0
11;rider/daniel-felipe-martinez;459;Team EF Education First-Drapac p/b Cannondale;22;Colombia;2845;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;1.0;3.0;1.0;8.0
12;rider/taylor-phinney;156;Team EF Education First-Drapac p/b Cannondale;28;United States;2845;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0
13;rider/pierre-rolland;257;Team EF Education First-Drapac p/b Cannondale;32;France;2845;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;1.0;0.0;9.0
14;rider/thomas-scully;52;Team EF Education First-Drapac p/b Cannondale;28;New Zealand;2845;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0
15;rider/sep-vanmarcke;565;Team EF Education First-Drapac p/b Cannondale;30;Belgium;2845;0.0;2.0;1.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;7.0
16;rider/romain-bardet;1616;AG2R La Mondiale;28;France;5263;0.0;1.0;0.0;2.0;2.0;1.0;3.0;2.0;2.0;1.0;0.0;2.0;3.0;2.0;0.0;1.0;1.0;2.0;39.0
17;rider/silvan-dillier;455;AG2R La Mondiale;28;Switzerland;5263;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
18;rider/axel-domont;41;AG2R La Mondiale;28;France;5263;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
19;rider/mathias-frank;358;AG2R La Mondiale;32;Switzerland;5263;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;3.0;0.0;1.0;3.0;1.0
20;rider/tony-gallopin;540;AG2R La Mondiale;30;France;5263;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;2.0;2.0;0.0;1.0;1.0
21;rider/pierre-latour;826;AG2R La Mondiale;25;France;5263;0.0;1.0;1.0;1.0;2.0;2.0;0.0;0.0;2.0;0.0;1.0;0.0;1.0;3.0;1.0;1.0;2.0;1.0;16.0
22;rider/oliver-naesen;1016;AG2R La Mondiale;28;Belgium;5263;4.0;2.0;1.0;4.0;2.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
23;rider/alexis-vuillermoz;411;AG2R La Mondiale;30;France;5263;1.0;0.0;1.0;1.0;2.0;0.0;2.0;1.0;1.0;0.0;1.0;2.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0
24;rider/michael-matthews;1444;Team Sunweb;28;Australia;4808;2.0;2.0;0.0;5.0;2.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;14.0
25;rider/tom-dumoulin;1759;Team Sunweb;28;Netherlands;4808;1.0;1.0;1.0;1.0;0.0;0.0;2.0;1.0;1.0;2.0;0.0;0.0;0.0;4.0;1.0;3.0;0.0;1.0;87.0
26;rider/nikias-arndt;264;Team Sunweb;27;Germany;4808;0.0;2.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0
27;rider/simon-geschke;231;Team Sunweb;32;Germany;4808;0.0;2.0;4.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;15.0
28;rider/chad-haga;178;Team Sunweb;30;United States;4808;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;8.0
29;rider/soren-kragh-andersen;633;Team Sunweb;24;Denmark;4808;3.0;3.0;2.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;2.0;1.0;21.0
30;rider/laurens-ten-dam;72;Team Sunweb;38;Netherlands;4808;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0
31;rider/edward-theuns;227;Team Sunweb;27;Belgium;4808;0.0;2.0;2.0;1.0;2.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;8.0
32;rider/warren-barguil;424;Team Fortuneo - Samsic;27;France;954;0.0;0.0;0.0;0.0;2.0;3.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
33;rider/maxime-bouet;91;Team Fortuneo - Samsic;32;France;954;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;3.0;0.0
34;rider/elie-gesbert;56;Team Fortuneo - Samsic;23;France;954;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
35;rider/romain-hardy;106;Team Fortuneo - Samsic;30;France;954;0.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
36;rider/kevin-ledanois;46;Team Fortuneo - Samsic;25;France;954;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
37;rider/amael-moinard;53;Team Fortuneo - Samsic;36;France;954;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
38;rider/laurent-pichon;120;Team Fortuneo - Samsic;32;France;954;0.0;0.0;0.0;0.0;1.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
39;rider/florian-vachon;58;Team Fortuneo - Samsic;33;France;954;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
40;rider/vincenzo-nibali;770;Bahrain Merida Pro Cycling Team;34;Italy;5581;0.0;0.0;1.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;17.0
41;rider/sonny-colbrelli;1276;Bahrain Merida Pro Cycling Team;28;Italy;5581;1.0;4.0;2.0;6.0;4.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;45.0
42;rider/heinrich-haussler;107;Bahrain Merida Pro Cycling Team;34;Australia;5581;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0
43;rider/gorka-izagirre;755;Bahrain Merida Pro Cycling Team;31;Spain;5581;0.0;1.0;0.0;0.0;3.0;2.0;2.0;2.0;0.0;1.0;1.0;2.0;3.0;0.0;0.0;2.0;1.0;0.0;16.0
44;rider/ion-izagirre;1257;Bahrain Merida Pro Cycling Team;29;Spain;5581;0.0;1.0;1.0;0.0;4.0;0.0;1.0;0.0;2.0;1.0;0.0;6.0;2.0;1.0;2.0;2.0;0.0;3.0;26.0
45;rider/kristijan-koren;82;Bahrain Merida Pro Cycling Team;32;Slovenia;5581;0.0;2.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0
46;rider/franco-pellizotti;162;Bahrain Merida Pro Cycling Team;40;Italy;5581;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0
47;rider/domenico-pozzovivo;1172;Bahrain Merida Pro Cycling Team;36;Italy;5581;0.0;0.0;1.0;1.0;3.0;1.0;0.0;4.0;4.0;2.0;2.0;1.0;2.0;3.0;4.0;1.0;1.0;2.0;17.0
48;rider/adam-yates;900;Mitchelton-Scott;26;Great Britain;3067;2.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;5.0;2.0;1.0;3.0;1.0;0.0;28.0
49;rider/jack-bauer;145;Mitchelton-Scott;33;New Zealand;3067;4.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;9.0
50;rider/luke-durbridge;148;Mitchelton-Scott;27;Australia;3067;2.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;9.0
51;rider/mathew-hayman;117;Mitchelton-Scott;40;Australia;3067;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;9.0
52;rider/michael-hepburn;134;Mitchelton-Scott;27;Australia;3067;2.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;12.0
53;rider/damien-howson;248;Mitchelton-Scott;26;Australia;3067;3.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;9.0
54;rider/daryl-impey;945;Mitchelton-Scott;34;South Africa;3067;3.0;1.0;0.0;3.0;1.0;1.0;3.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;19.0
55;rider/mikel-nieve;430;Mitchelton-Scott;34;Spain;3067;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;17.0
56;rider/nairo-quintana;1292;Movistar Team;28;Colombia;6347;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;4.0;5.0;2.0;3.0;2.0;0.0;28.0
57;rider/andrey-amador;258;Movistar Team;32;Costa Rica;6347;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0
58;rider/daniele-bennati;84;Movistar Team;38;Italy;6347;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
59;rider/imanol-erviti;80;Movistar Team;35;Spain;6347;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
60;rider/mikel-landa;866;Movistar Team;29;Spain;6347;0.0;0.0;1.0;0.0;1.0;0.0;0.0;2.0;0.0;1.0;1.0;0.0;4.0;0.0;1.0;1.0;2.0;0.0;30.0
61;rider/jose-joaquin-rojas;158;Movistar Team;33;Spain;6347;0.0;0.0;1.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
62;rider/marc-soler;732;Movistar Team;25;Spain;6347;1.0;2.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;5.0;0.0;2.0;2.0;0.0;11.0
63;rider/alejandro-valverde;2877;Movistar Team;38;Spain;6347;0.0;0.0;2.0;5.0;3.0;4.0;5.0;0.0;0.0;4.0;1.0;3.0;6.0;1.0;3.0;4.0;1.0;0.0;29.0
64;rider/richie-porte;776;BMC Racing Team;33;Australia;4899;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;2.0;2.0;1.0;3.0;0.0;1.0;17.0
65;rider/patrick-bevin;427;BMC Racing Team;27;New Zealand;4899;3.0;3.0;1.0;5.0;0.0;2.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;15.0
66;rider/damiano-caruso;737;BMC Racing Team;31;Italy;4899;2.0;0.0;2.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;2.0;1.0;1.0;2.0;0.0;34.0
67;rider/simon-gerrans;209;BMC Racing Team;38;Australia;4899;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;15.0
68;rider/stefan-kung;385;BMC Racing Team;25;Switzerland;4899;5.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;16.0
69;rider/michael-schar;220;BMC Racing Team;32;Switzerland;4899;2.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;15.0
