;rider;PCS;Team;Age;Nationality;Team PCS;flat1-4;flat5-8;flat9-12;hills(flat)1-4;hills(flat)5-8;hills(flat)9-12;hills(uphill)1-4;hills(uphill)5-8;hills(uphill)9-12;mountains(flat)1-4;mountains(flat)5-8;mountains(flat)9-12;mountains(uphill)1-4;mountains(uphill)5-8;mountains(uphill)9-12;gc1-4;gc5-8;gc9-12;wielerpoule
0;rider/alberto-contador;100;Saxo Bank - Sungard;29;Spain;1716;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0
1;rider/jesus-hernandez-3;80;Saxo Bank - Sungard;30;Spain;1716;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0
2;rider/daniel-navarro;77;Saxo Bank - Sungard;28;Spain;1716;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;5.0
3;rider/benjamin-gonzalez-noval;40;Saxo Bank - Sungard;32;Spain;1716;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0
4;rider/richie-porte;342;Saxo Bank - Sungard;26;Australia;1716;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0
5;rider/chris-anker-sorensen;542;Saxo Bank - Sungard;27;Denmark;1716;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;5.0
6;rider/nicki-sorensen;306;Saxo Bank - Sungard;36;Denmark;1716;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;5.0
7;rider/matteo-tosatto;164;Saxo Bank - Sungard;37;Italy;1716;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0
8;rider/brian-vandborg;65;Saxo Bank - Sungard;30;Denmark;1716;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0
9;rider/andy-schleck;1094;Leopard Trek;26;Luxembourg;6294;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;82.0
10;rider/fabian-cancellara;1450;Leopard Trek;30;Switzerland;6294;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;23.0
11;rider/jakob-fuglsang;751;Leopard Trek;26;Denmark;6294;0.0;1.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;11.0
12;rider/linus-gerdemann;524;Leopard Trek;29;Germany;6294;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;3.0;11.0
13;rider/maxime-monfort;640;Leopard Trek;28;Belgium;6294;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;2.0;9.0
14;rider/stuart-o-grady;321;Leopard Trek;38;Australia;6294;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;9.0
15;rider/joost-posthuma;93;Leopard Trek;30;Netherlands;6294;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;9.0
16;rider/frank-schleck;1349;Leopard Trek;31;Luxembourg;6294;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;79.0
17;rider/jens-voigt;72;Leopard Trek;40;Germany;6294;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0
18;rider/samuel-sanchez;1705;Euskaltel - Euskadi;33;Spain;2682;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;75.0
19;rider/gorka-izagirre;241;Euskaltel - Euskadi;24;Spain;2682;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0
20;rider/egoi-martinez;88;Euskaltel - Euskadi;33;Spain;2682;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21;rider/alan-lezaun-perez;89;Euskaltel - Euskadi;29;Spain;2682;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0
22;rider/ruben-perez-moreno;111;Euskaltel - Euskadi;30;Spain;2682;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23;rider/amets-txurruka;123;Euskaltel - Euskadi;29;Spain;2682;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
24;rider/pablo-urtasun;52;Euskaltel - Euskadi;31;Spain;2682;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;rider/ivan-velasco;70;Euskaltel - Euskadi;31;Spain;2682;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26;rider/gorka-verdugo;203;Euskaltel - Euskadi;33;Spain;2682;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
27;rider/jurgen-van-den-broeck;706;Omega Pharma-Lotto ;28;Belgium;6320;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;2.0;1.0;1.0;18.0
28;rider/philippe-gilbert;3031;Omega Pharma-Lotto ;29;Belgium;6320;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;69.0
29;rider/andre-greipel;1255;Omega Pharma-Lotto ;29;Germany;6320;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;61.0
30;rider/sebastian-lang;100;Omega Pharma-Lotto ;32;Germany;6320;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
31;rider/jurgen-roelandts;565;Omega Pharma-Lotto ;26;Belgium;6320;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
32;rider/marcel-sieberg;120;Omega Pharma-Lotto ;29;Germany;6320;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
33;rider/jurgen-van-de-walle;46;Omega Pharma-Lotto ;34;Belgium;6320;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
34;rider/jelle-vanendert;497;Omega Pharma-Lotto ;26;Belgium;6320;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.0
35;rider/frederik-willems;None;Omega Pharma-Lotto ;32;Belgium;6320;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
36;rider/robert-gesink;913;Rabobank Cycling Team;25;Netherlands;3986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;6.0
37;rider/carlos-barredo;32;Rabobank Cycling Team;30;Spain;3986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0
38;rider/lars-boom;610;Rabobank Cycling Team;26;Netherlands;3986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;6.0
39;rider/juan-manuel-garate;73;Rabobank Cycling Team;35;Spain;3986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.0
40;rider/bauke-mollema;1165;Rabobank Cycling Team;25;Netherlands;3986;0.0;0.0;1.0;0.0;0.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;2.0;2.0;1.0;2.0;20.0
41;rider/grischa-niermann;61;Rabobank Cycling Team;36;Germany;3986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0
