;rider;PCS;Team;Age;Nationality;Team PCS;flat1-4;flat5-8;flat9-12;hills(flat)1-4;hills(flat)5-8;hills(flat)9-12;hills(uphill)1-4;hills(uphill)5-8;hills(uphill)9-12;mountains(flat)1-4;mountains(flat)5-8;mountains(flat)9-12;mountains(uphill)1-4;mountains(uphill)5-8;mountains(uphill)9-12;gc1-4;gc5-8;gc9-12;wielerpoule
0;rider/cadel-evans;982;BMC Racing Team;35;Australia;4042;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;54.0
1;rider/marcus-burghardt;113;BMC Racing Team;29;Germany;4042;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
2;rider/stephen-cummings;229;BMC Racing Team;31;Great Britain;4042;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;rider/philippe-gilbert;1118;BMC Racing Team;30;Belgium;4042;1.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;27.0
4;rider/george-hincapie;80;BMC Racing Team;39;United States;4042;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;rider/amael-moinard;86;BMC Racing Team;30;France;4042;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;rider/manuel-quinziato;185;BMC Racing Team;33;Italy;4042;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
7;rider/michael-schar;158;BMC Racing Team;26;Switzerland;4042;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;rider/tejay-van-garderen;1091;BMC Racing Team;24;United States;4042;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;2.0;2.0;1.0;43.0
9;rider/frank-schleck;526;RadioShack - Nissan;32;Luxembourg;4415;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;1.0;0.0;7.0
10;rider/fabian-cancellara;936;RadioShack - Nissan;31;Switzerland;4415;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;46.0
11;rider/tony-gallopin;514;RadioShack - Nissan;24;France;4415;0.0;1.0;0.0;0.0;2.0;1.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;10.0
12;rider/chris-horner;694;RadioShack - Nissan;41;United States;4415;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;2.0;6.0
13;rider/andreas-kloden;380;RadioShack - Nissan;37;Germany;4415;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;7.0
14;rider/maxime-monfort;560;RadioShack - Nissan;29;Belgium;4415;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;5.0
15;rider/yaroslav-popovych;81;RadioShack - Nissan;32;Ukraine;4415;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16;rider/jens-voigt;217;RadioShack - Nissan;41;Germany;4415;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;17.0
17;rider/haimar-zubeldia;507;RadioShack - Nissan;35;Spain;4415;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;22.0
18;rider/thomas-voeckler;1217;Team Europcar;33;France;2672;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;40.0
19;rider/yukiya-arashiro;249;Team Europcar;28;Japan;2672;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
20;rider/giovanni-bernaudeau;27;Team Europcar;29;France;2672;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21;rider/cyril-gautier;137;Team Europcar;25;France;2672;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0
22;rider/yohann-gene;220;Team Europcar;31;France;2672;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0
23;rider/vincent-jerome;113;Team Europcar;28;France;2672;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
24;rider/christophe-kern;34;Team Europcar;31;France;2672;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;rider/davide-malacarne;109;Team Europcar;25;Italy;2672;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
26;rider/pierre-rolland;566;Team Europcar;26;France;2672;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;41.0
27;rider/samuel-sanchez;1159;Euskaltel - Euskadi;34;Spain;2685;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;2.0;5.0
28;rider/mikel-astarloza;73;Euskaltel - Euskadi;33;Spain;2685;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
29;rider/jorge-azanza;67;Euskaltel - Euskadi;30;Spain;2685;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30;rider/gorka-izagirre;251;Euskaltel - Euskadi;25;Spain;2685;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0
31;rider/egoi-martinez;292;Euskaltel - Euskadi;34;Spain;2685;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0
32;rider/ruben-perez-moreno;172;Euskaltel - Euskadi;31;Spain;2685;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
33;rider/amets-txurruka;107;Euskaltel - Euskadi;30;Spain;2685;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0
34;rider/pablo-urtasun;220;Euskaltel - Euskadi;32;Spain;2685;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0
35;rider/gorka-verdugo;344;Euskaltel - Euskadi;34;Spain;2685;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;2.0;0.0
36;rider/michele-scarponi;826;Lampre - ISD;33;Italy;1767;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;2.0;1.0;1.0;2.0;0.0;12.0
37;rider/grega-bole;127;Lampre - ISD;27;Slovenia;1767;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
38;rider/danilo-hondo;104;Lampre - ISD;38;Germany;1767;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
39;rider/yuriy-krivtsov;10;Lampre - ISD;33;Ukraine;1767;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
40;rider/matthew-lloyd;25;Lampre - ISD;29;Australia;1767;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
41;rider/marco-marzano;84;Lampre - ISD;32;Italy;1767;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
42;rider/alessandro-petacchi;391;Lampre - ISD;38;Italy;1767;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
43;rider/simone-stortoni;117;Lampre - ISD;27;Italy;1767;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;5.0
44;rider/davide-vigano;83;Lampre - ISD;28;Italy;1767;0.0;2.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
45;rider/vincenzo-nibali;1715;Liquigas - Cannondale;28;Italy;5538;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;4.0;0.0;0.0;63.0
46;rider/ivan-basso;536;Liquigas - Cannondale;35;Italy;5538;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;1.0;0.0;1.0;0.0;0.0
47;rider/federico-canuti;72;Liquigas - Cannondale;27;Italy;5538;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
48;rider/kristijan-koren;216;Liquigas - Cannondale;26;Slovenia;5538;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
49;rider/dominik-nerz;235;Liquigas - Cannondale;23;Germany;5538;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
50;rider/daniel-oss;233;Liquigas - Cannondale;25;Italy;5538;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
51;rider/peter-sagan;2109;Liquigas - Cannondale;22;Slovakia;5538;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;117.0
52;rider/sylwester-szmyd;377;Liquigas - Cannondale;34;Poland;5538;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;1.0;1.0;0.0
53;rider/alessandro-vanotti;45;Liquigas - Cannondale;32;Italy;5538;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
54;rider/ryder-hesjedal;1070;Garmin Sharp;32;Canada;3424;1.0;2.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;1.0;1.0;2.0;2.0;2.0;1.0;0.0;0.0;6.0
55;rider/thomas-danielson;398;Garmin Sharp;34;United States;3424;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;2.0;0.0
56;rider/tyler-farrar;617;Garmin Sharp;28;United States;3424;3.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;17.0
57;rider/robert-hunter;169;Garmin Sharp;35;South Africa;3424;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
58;rider/daniel-martin1;None;None;None;None;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
59;rider/david-millar;201;Garmin Sharp;35;Great Britain;3424;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;15.0
60;rider/johan-vansummeren;267;Garmin Sharp;31;Belgium;3424;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
61;rider/christian-vande-velde;435;Garmin Sharp;36;United States;3424;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;1.0;0.0;1.0;12.0
62;rider/david-zabriskie;267;Garmin Sharp;33;United States;3424;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0
63;rider/jean-christophe-peraud;333;AG2R La Mondiale;35;France;2482;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;12.0
64;rider/maxime-bouet;278;AG2R La Mondiale;26;France;2482;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;2.0;0.0
65;rider/mikael-cherel;96;AG2R La Mondiale;26;France;2482;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
66;rider/hubert-dupont;329;AG2R La Mondiale;32;France;2482;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;1.0;1.0;1.0;1.0;0.0
67;rider/sebastien-hinault;371;AG2R La Mondiale;38;France;2482;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;27.0
68;rider/blel-kadri;92;AG2R La Mondiale;26;France;2482;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
69;rider/sebastien-minard;119;AG2R La Mondiale;30;France;2482;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0
70;rider/christophe-riblon;226;AG2R La Mondiale;31;France;2482;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0
71;rider/nicolas-roche;638;AG2R La Mondiale;28;Ireland;2482;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;3.0;0.0;0.0;3.0;18.0
72;rider/rein-taaramae;344;Cofidis, le Crédit en Ligne;25;Estonia;1636;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;12.0
73;rider/remy-di-gregorio;176;Cofidis, le Crédit en Ligne;27;France;1636;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0
74;rider/samuel-dumoulin;663;Cofidis, le Crédit en Ligne;32;France;1636;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;19.0
75;rider/nicolas-edet;78;Cofidis, le Crédit en Ligne;25;France;1636;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
