;rider;PCS;Team;Age;Nationality;Team PCS;flat1-4;flat5-8;flat9-12;hills(flat)1-4;hills(flat)5-8;hills(flat)9-12;hills(uphill)1-4;hills(uphill)5-8;hills(uphill)9-12;mountains(flat)1-4;mountains(flat)5-8;mountains(flat)9-12;mountains(uphill)1-4;mountains(uphill)5-8;mountains(uphill)9-12;gc1-4;gc5-8;gc9-12;wielerpoule
0;rider/christopher-froome;2170;Team Sky;32;Great Britain;8148;2.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;0.0;2.0;0.0;1.0;4.0;3.0;0.0;2.0;1.0;0.0;107.0
1;rider/sergio-luis-henao;874;Team Sky;30;Colombia;8148;0.0;0.0;1.0;1.0;1.0;0.0;1.0;2.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0
2;rider/vasil-kiryienka;425;Team Sky;36;Belarus;8148;2.0;1.0;0.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
3;rider/christian-knees;81;Team Sky;36;Germany;8148;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;rider/michal-kwiatkowski;1663;Team Sky;27;Poland;8148;1.0;1.0;1.0;4.0;0.0;1.0;4.0;2.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;23.0
5;rider/mikel-landa;1303;Team Sky;28;Spain;8148;0.0;0.0;0.0;1.0;2.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;6.0;1.0;0.0;1.0;2.0;0.0;53.0
6;rider/mikel-nieve;508;Team Sky;33;Spain;8148;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;3.0;0.0;0.0;2.0;3.0
7;rider/luke-rowe;322;Team Sky;27;Great Britain;8148;1.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;rider/geraint-thomas;802;Team Sky;31;Great Britain;8148;0.0;2.0;1.0;2.0;1.0;4.0;3.0;0.0;0.0;1.0;1.0;2.0;3.0;1.0;0.0;1.0;2.0;0.0;23.0
9;rider/romain-bardet;1281;AG2R La Mondiale;27;France;4689;0.0;0.0;0.0;0.0;2.0;1.0;0.0;2.0;2.0;2.0;1.0;1.0;1.0;3.0;4.0;0.0;2.0;2.0;76.0
10;rider/jan-bakelants;515;AG2R La Mondiale;31;Belgium;4689;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;10.0
11;rider/axel-domont;94;AG2R La Mondiale;27;France;4689;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12;rider/mathias-frank;360;AG2R La Mondiale;31;Switzerland;4689;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;2.0;2.0;0.0;2.0;1.0;2.0
13;rider/ben-gastauer;96;AG2R La Mondiale;30;Luxembourg;4689;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14;rider/cyril-gautier;224;AG2R La Mondiale;30;France;4689;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;rider/pierre-latour;387;AG2R La Mondiale;24;France;4689;0.0;0.0;1.0;2.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;1.0;0.0
16;rider/oliver-naesen;944;AG2R La Mondiale;27;Belgium;4689;0.0;2.0;0.0;1.0;5.0;6.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0
17;rider/alexis-vuillermoz;788;AG2R La Mondiale;29;France;4689;0.0;0.0;0.0;1.0;0.0;3.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
18;rider/nairo-quintana;1486;Movistar Team;27;Colombia;5350;1.0;0.0;0.0;2.0;2.0;2.0;1.0;1.0;2.0;1.0;1.0;0.0;5.0;0.0;2.0;4.0;0.0;1.0;26.0
19;rider/andrey-amador;250;Movistar Team;31;Costa Rica;5350;1.0;0.0;1.0;2.0;1.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
20;rider/daniele-bennati;217;Movistar Team;37;Italy;5350;2.0;0.0;1.0;1.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;12.0
21;rider/carlos-betancur;212;Movistar Team;28;Colombia;5350;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0
22;rider/jonathan-castroviejo;588;Movistar Team;30;Spain;5350;3.0;1.0;0.0;3.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;2.0;3.0;0.0
23;rider/imanol-erviti;139;Movistar Team;34;Spain;5350;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
24;rider/jesus-herrada-lopez;479;Movistar Team;27;Spain;5350;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;3.0;0.0
25;rider/jasha-sutterlin;256;Movistar Team;25;Germany;5350;1.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
26;rider/alejandro-valverde;1723;Movistar Team;37;Spain;5350;2.0;0.0;0.0;4.0;1.0;0.0;4.0;0.0;1.0;4.0;2.0;2.0;2.0;0.0;2.0;3.0;0.0;1.0;0.0
27;rider/alberto-contador;1637;Trek - Segafredo;35;Spain;5229;1.0;2.0;1.0;2.0;1.0;1.0;2.0;1.0;0.0;2.0;2.0;1.0;3.0;3.0;2.0;4.0;1.0;1.0;35.0
28;rider/koen-de-kort;124;Trek - Segafredo;35;Netherlands;5229;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
29;rider/john-degenkolb;1012;Trek - Segafredo;28;Germany;5229;5.0;1.0;1.0;4.0;8.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;33.0
30;rider/fabio-felline;602;Trek - Segafredo;27;Italy;5229;0.0;1.0;1.0;1.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
31;rider/michael-gogl;147;Trek - Segafredo;24;Austria;5229;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
32;rider/markel-irizar;74;Trek - Segafredo;37;Spain;5229;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
33;rider/bauke-mollema;1224;Trek - Segafredo;31;Netherlands;5229;1.0;0.0;2.0;2.0;0.0;3.0;2.0;1.0;0.0;0.0;1.0;2.0;1.0;2.0;2.0;3.0;1.0;1.0;15.0
34;rider/jarlinson-pantano;305;Trek - Segafredo;29;Colombia;5229;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
35;rider/haimar-zubeldia;104;Trek - Segafredo;40;Spain;5229;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
36;rider/richie-porte;1120;BMC Racing Team;32;Australia;6095;1.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;1.0;2.0;0.0;0.0;2.0;2.0;0.0;3.0;0.0;1.0;9.0
37;rider/damiano-caruso;668;BMC Racing Team;30;Italy;6095;2.0;0.0;0.0;1.0;0.0;2.0;0.0;2.0;2.0;0.0;2.0;0.0;2.0;1.0;0.0;2.0;0.0;2.0;3.0
38;rider/alessandro-de-marchi;211;BMC Racing Team;31;Italy;6095;1.0;0.0;0.0;2.0;2.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
39;rider/stefan-kung;607;BMC Racing Team;24;Switzerland;6095;3.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;16.0
40;rider/amael-moinard;96;BMC Racing Team;35;France;6095;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
41;rider/nicolas-roche;657;BMC Racing Team;33;Ireland;6095;1.0;0.0;0.0;1.0;1.0;5.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;16.0
42;rider/michael-schar;106;BMC Racing Team;31;Switzerland;6095;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
43;rider/greg-van-avermaet;2508;BMC Racing Team;32;Belgium;6095;1.0;1.0;0.0;7.0;3.0;1.0;4.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;30.0
44;rider/danilo-wyss;122;BMC Racing Team;32;Switzerland;6095;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
45;rider/fabio-aru;1207;Astana Pro Team;27;Italy;3755;0.0;0.0;1.0;0.0;1.0;2.0;1.0;2.0;3.0;1.0;1.0;0.0;1.0;1.0;3.0;1.0;2.0;1.0;60.0
46;rider/dario-cataldo;180;Astana Pro Team;32;Italy;3755;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
47;rider/jakob-fuglsang;690;Astana Pro Team;32;Denmark;3755;0.0;0.0;0.0;0.0;2.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;2.0;2.0;2.0;1.0;1.0;13.0
48;rider/andrei-grivko;199;Astana Pro Team;34;Ukraine;3755;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
49;rider/dmitriy-gruzdev;132;Astana Pro Team;31;Kazakhstan;3755;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50;rider/bakhtiyar-kozhatayev;110;Astana Pro Team;25;Kazakhstan;3755;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0
51;rider/aleksey-lutsenko;591;Astana Pro Team;25;Kazakhstan;3755;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
52;rider/michael-valgren-andersen;509;Astana Pro Team;25;Denmark;3755;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;6.0
53;rider/andrey-zeits;137;Astana Pro Team;31;Kazakhstan;3755;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
54;rider/louis-meintjes;745;UAE Team Emirates;25;South Africa;3307;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;1.0;0.0;2.0;1.0;29.0
55;rider/darwin-atapuma;259;UAE Team Emirates;29;Colombia;3307;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;13.0
56;rider/matteo-bono;48;UAE Team Emirates;34;Italy;3307;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
57;rider/kristijan-durasek;77;UAE Team Emirates;30;Croatia;3307;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
58;rider/vegard-stake-laengen;255;UAE Team Emirates;28;Norway;3307;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0
59;rider/marco-marcato;148;UAE Team Emirates;33;Italy;3307;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
60;rider/manuele-mori;74;UAE Team Emirates;37;Italy;3307;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0
61;rider/ben-swift;396;UAE Team Emirates;30;Great Britain;3307;0.0;0.0;0.0;1.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;11.0
62;rider/diego-ulissi;1305;UAE Team Emirates;28;Italy;3307;0.0;0.0;0.0;2.0;1.0;0.0;1.0;2.0;2.0;0.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;12.0
63;rider/arnaud-demare;1324;FDJ;26;France;4087;5.0;2.0;0.0;6.0;4.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;48.0
64;rider/davide-cimolai;188;FDJ;28;Italy;4087;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0
65;rider/mickael-delage;43;FDJ;32;France;4087;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
66;rider/jacopo-guarnieri;10;FDJ;30;Italy;4087;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67;rider/ignatas-konovalovas;222;FDJ;32;Lithuania;4087;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
68;rider/olivier-le-gac;130;FDJ;24;France;4087;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
69;rider/rudy-molard;205;FDJ;28;France;4087;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
70;rider/thibaut-pinot;1437;FDJ;27;France;4087;2.0;0.0;0.0;1.0;4.0;0.0;3.0;2.0;1.0;5.0;0.0;1.0;4.0;2.0;2.0;5.0;0.0;0.0;4.0
71;rider/arthur-vichot;528;FDJ;29;France;4087;1.0;0.0;0.0;4.0;4.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
72;rider/johan-esteban-chaves;536;ORICA-Scott;27;Colombia;4436;0.0;1.0;1.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;2.0;0.0
